QUE	 (100044, 100043) 
75.5	 1	 1
79.2	 2	 1
108.1	 3	 1
111.5	 4	 1
138.6	 5	 1
140.2	 6	 1
146.0	 7	 1
148.4	 8	 1
162.7	 7	 4
162.8	 6	 4
163.0	 5	 4
163.2	 4	 4
163.2	 5	 1
163.3	 4	 4
163.5	 3	 4
163.7	 2	 4
163.8	 1	 4
164.0	 0	 4
166.0	 1	 1
166.2	 0	 4
187.0	 1	 1
187.2	 0	 4
192.2	 1	 1
202.1	 2	 1
251.3	 3	 1
264.5	 4	 1
282.8	 3	 4
283.0	 2	 4
283.2	 1	 4
283.4	 0	 4
285.5	 1	 1
285.8	 0	 4
297.6	 1	 1
297.9	 0	 4
300.4	 1	 1
300.7	 0	 4
306.0	 1	 1
306.3	 0	 4
306.6	 1	 1
306.9	 0	 4
319.1	 1	 1
346.5	 2	 1
348.2	 3	 1
353.7	 4	 1
369.9	 5	 1
380.7	 6	 1
396.9	 7	 1
402.8	 6	 4
403.0	 5	 4
403.2	 4	 4
403.4	 3	 4
403.5	 2	 4
403.7	 1	 4
403.9	 0	 4
414.4	 1	 1
414.7	 0	 4
428.6	 1	 1
428.9	 0	 4
438.9	 1	 1
453.9	 2	 1
468.2	 3	 1
494.2	 4	 1
514.5	 5	 1
522.8	 4	 4
523.0	 3	 4
523.2	 2	 4
523.4	 1	 4
523.6	 0	 4
536.3	 1	 1
536.6	 0	 4
546.0	 1	 1
546.3	 0	 4
549.1	 1	 1
549.4	 0	 4
580.0	 1	 1
614.9	 2	 1
627.8	 3	 1
642.8	 2	 4
643.0	 1	 4
643.2	 0	 4
649.8	 1	 1
650.1	 0	 4
675.6	 1	 1
676.6	 2	 1
683.0	 3	 1
683.0	 4	 1
700.0	 5	 1
716.1	 6	 1
720.8	 7	 1
723.6	 8	 1
731.5	 9	 1
737.2	 10	 1
745.7	 11	 1
757.9	 12	 1
762.8	 11	 4
763.0	 10	 4
763.2	 9	 4
763.4	 8	 4
763.6	 7	 4
763.8	 6	 4
764.0	 5	 4
764.2	 4	 4
764.4	 3	 4
764.6	 2	 4
764.8	 1	 4
765.0	 0	 4
766.2	 1	 1
766.5	 0	 4
788.0	 1	 1
788.3	 0	 4
800.2	 1	 1
801.5	 2	 1
805.9	 3	 1
806.6	 4	 1
823.4	 5	 1
823.9	 6	 1
831.1	 7	 1
844.6	 8	 1
859.3	 9	 1
875.2	 10	 1
882.8	 9	 4
883.0	 8	 4
883.2	 7	 4
883.4	 6	 4
883.6	 5	 4
883.8	 4	 4
884.0	 3	 4
884.2	 2	 4
884.4	 1	 4
884.6	 0	 4
922.6	 1	 1
943.7	 2	 1
944.6	 3	 1
949.3	 4	 1
950.7	 5	 1
975.7	 6	 1
979.4	 7	 1
984.8	 8	 1
992.4	 9	 1
996.4	 10	 1
1002.8	 9	 4
1003.0	 8	 4
1003.2	 7	 4
1003.4	 6	 4
1003.6	 5	 4
1003.8	 4	 4
1004.0	 3	 4
1004.2	 2	 4
1004.4	 1	 4
1004.6	 0	 4
1027.8	 1	 1
1028.1	 0	 4
1035.7	 1	 1
1064.7	 2	 1
1073.5	 3	 1
1078.7	 4	 1
1088.0	 5	 1
1088.1	 6	 1
1095.9	 7	 1
1118.2	 8	 1
1122.8	 7	 4
1123.0	 6	 4
1123.2	 5	 4
1123.4	 4	 4
1123.6	 3	 4
1123.8	 2	 4
1124.0	 1	 4
1124.2	 0	 4
1124.3	 1	 1
1124.6	 0	 4
1136.2	 1	 1
1136.5	 0	 4
1142.8	 1	 1
1143.1	 0	 4
1161.6	 1	 1
1164.0	 2	 1
1176.2	 3	 1
1183.6	 4	 1
1189.7	 5	 1
1190.4	 6	 1
