incoming link	outcoming link	max alllowed size of queue	saturation flow	type
100037	100054	-1	0.5	0
100037	200037	-1	0	0
100037	200053	-1	0.5	1
100053	100054	-1	0.5	1
100053	200037	-1	0.5	0
100053	200053	-1	0	0
200054	100054	-1	0	0
200054	200037	-1	0.5	0
200054	200053	-1	0.5	0
10005	10003	-1	0.5	1
10005	100058	-1	0	0
10005	20002	-1	0.5	0
10002	10003	-1	0.5	0
10002	100058	-1	0	0
10002	20002	-1	0	0
100057	10003	-1	0.5	0
100057	100058	-1	0	0
100057	20002	-1	0.5	1
20003	10003	-1	0	0
20003	100058	-1	0.5	1
20003	20002	-1	0.5	0
10003	10004	-1	0.5	1
10003	10008	-1	0.5	0
10003	100040	-1	0	0
10003	20003	-1	0	0
100038	10004	-1	0	0
100038	10008	-1	0.5	1
100038	100040	-1	0.5	0
100038	20003	-1	0	0
100039	10004	-1	0.5	0
100039	10008	-1	0	0
100039	100040	-1	0	0
100039	20003	-1	0.5	1
20008	10004	-1	0	0
20008	10008	-1	0	0
20008	100040	-1	0.5	1
20008	20003	-1	0.5	0
10008	100011	-1	0.5	0
10008	100041	-1	0	0
10008	100036	-1	0.5	1
10008	20008	-1	0	0
100042	100011	-1	0.5	1
100042	100041	-1	0	0
100042	100036	-1	0	0
100042	20008	-1	0	0
100059	100011	-1	0	0
100059	100041	-1	0	0
100059	100036	-1	0	0
100059	20008	-1	0.5	1
200011	100011	-1	0	0
200011	100041	-1	0.5	1
200011	100036	-1	0	0
200011	20008	-1	0.5	0
100011	100014	-1	0.5	0
100011	100043	-1	0.5	0
100011	100060	-1	0.5	1
100011	200011	-1	0	0
100044	100014	-1	0.5	1
100044	100043	-1	0.5	0
100044	100060	-1	0	0
100044	200011	-1	0.5	0
100061	100014	-1	0.5	0
100061	100043	-1	0	0
100061	100060	-1	0.5	0
100061	200011	-1	0.5	1
200014	100014	-1	0	0
200014	100043	-1	0.5	1
200014	100060	-1	0.5	0
200014	200011	-1	0.5	0
100014	100017	-1	0.5	0
100014	100045	-1	0.5	0
100014	100062	-1	0.5	1
100014	200014	-1	0	0
100046	100017	-1	0.5	1
100046	100045	-1	0.5	0
100046	100062	-1	0	0
100046	200014	-1	0	0
100063	100017	-1	0	0
100063	100045	-1	0	0
100063	100062	-1	0.5	0
100063	200014	-1	0.5	1
200017	100017	-1	0	0
200017	100045	-1	0.5	1
200017	100062	-1	0.5	0
200017	200014	-1	0.5	0
100017	100020	-1	0.5	0
100017	100047	-1	0.5	0
100017	100065	-1	0.5	1
100017	200017	-1	0	0
100048	100020	-1	0.5	1
100048	100047	-1	0.5	0
100048	100065	-1	0	0
100048	200017	-1	0.5	0
100064	100020	-1	0.5	0
100064	100047	-1	0	0
100064	100065	-1	0.5	0
100064	200017	-1	0.5	1
200020	100020	-1	0	0
200020	100047	-1	0.5	1
200020	100065	-1	0.5	0
200020	200017	-1	0.5	0
100020	100021	-1	0.5	0
100020	100050	-1	0.5	1
100020	200020	-1	0	0
100049	100021	-1	0.5	1
100049	100050	-1	0	0
100049	200020	-1	0	0
100066	100021	-1	0.5	0
100066	100050	-1	0.5	0
100066	200020	-1	0.5	1
200021	100021	-1	0	0
200021	100050	-1	0.5	0
200021	200020	-1	0.5	0
100021	100022	-1	0.5	0
100021	100023	-1	0.5	0
100021	200021	-1	0	0
200023	100022	-1	0.5	1
200023	100023	-1	0	0
200023	200021	-1	0.5	0
100028	100032	-1	0.5	0
100028	100051	-1	0.5	0
100028	200028	-1	0	0
100067	100032	-1	0.5	0
100067	100051	-1	0	0
100067	200028	-1	0.5	1
200032	100032	-1	0	0
200032	100051	-1	0.5	1
200032	200028	-1	0.5	0
100032	100033	-1	0.5	0
100032	100052	-1	0.5	0
100032	200032	-1	0	0
100068	100033	-1	0.5	0
100068	100052	-1	0	0
100068	200032	-1	0.5	1
200033	100033	-1	0	0
200033	100052	-1	0.5	1
200033	200032	-1	0.5	0
100033	100034	-1	0.5	0
100033	100035	-1	0.5	1
100033	200033	-1	0	0
200034	100034	-1	0	0
200034	100035	-1	0.5	0
200034	200033	-1	0.5	0
100054	100056	-1	0.5	1
100054	10002	-1	0.5	0
100054	200054	-1	0	0
20002	100056	-1	0	0
20002	10002	-1	0	0
20002	200054	-1	0.5	0
100023	100024	-1	0.5	0
100023	100025	-1	0.5	1
100023	200023	-1	0	0
200024	100024	-1	0	0
200024	100025	-1	0.5	0
200024	200023	-1	0.5	0
100024	100028	-1	0.5	0
100024	200024	-1	0	0
100027	100028	-1	0.5	1
100027	200024	-1	0.5	0
200028	100028	-1	0	0
200028	200024	-1	0.5	0
