incoming link	outcoming link	prob
100037	100054	0.65
100037	200053	0.35
100053	100054	0.74
100053	200037	0.26
200054	200037	0.9
200054	200053	0.1
10005	10003	0.18
10005	200054	0.82
10002	10003	1
100057	10003	0.52
100057	200054	0.48
20003	100058	0.03
20003	200054	0.97
10003	10004	0.1
10003	10008	0.9
100038	10008	0.1
100038	100040	0.9
100039	10004	0.9
100039	20003	0.1
20008	100040	0.1
20008	20003	0.9
10008	100011	0.9
10008	100041	0
10008	100036	0.1
100042	100011	1
100042	100041	0
200011	100041	0
200011	100036	0
200011	20008	1
100011	100014	0.75
100011	100043	0.19
100011	100060	0.06
100044	100014	0.08
100044	100043	0.73
100044	200011	0.19
100061	100014	0.08
100061	100060	0.51
100061	200011	0.41
200014	100043	0.06
200014	100060	0.03
200014	200011	0.91
100014	100017	0.9
100014	100045	0.05
100014	100062	0.05
100046	100017	0.1
100046	100045	0.9
100063	100062	0.9
100063	200014	0.1
200017	100045	0.05
200017	100062	0.05
200017	200014	0.9
100017	100020	0.73
100017	100047	0.17
100017	100065	0.1
100048	100020	0.11
100048	100047	0.72
100048	200017	0.17
100064	100020	0.17
100064	100065	0.64
100064	200017	0.19
200020	100047	0.27
200020	100065	0.05
200020	200017	0.68
100020	100021	0.98
100020	100050	0.02
100049	100021	1
100066	100021	0.17
100066	100050	0.64
100066	200020	0.19
200021	100050	0.05
200021	200020	0.95
100021	100022	0.77
100021	100023	0.23
200023	100022	0.08
200023	200021	0.92
100028	100032	0.9
100028	100051	0.1
100067	100032	0.5
100067	200028	0.5
200032	100051	0.1
200032	200028	0.9
100032	100033	0.9
100032	100052	0.1
100068	100033	0.5
100068	200032	0.5
200033	100052	0.1
200033	200032	0.9
100033	100035	0.49
100033	100072	0.07
100033	100073	0.44
100054	100056	0.1
100054	10002	0.9
100023	100024	0.94
100023	100025	0.06
100024	100028	1
100027	100028	0.93
100027	200023	0.07
200028	200023	0.55
200028	200027	0.45
100071	200033	0.77
100071	100072	0.12
100071	100035	0.11
100070	200033	0.22
100070	100035	0.71
100070	100073	0.07
100074	100072	0.9
100074	200033	0.1
100074	100073	0
100025	200025	1
200027	200025	1
100035  100069  0.1
100035  100075  0.9
100059 	20008 	1
