incoming link	outcoming link	cum prob
100037	100054	0.65
100037	200053	1
100053	100054	0.74
100053	200037	1
200054	200037	0.9
200054	200053	1
10005	10003	0.18
10005	200054	1
10002	10003	1
100057	10003	0.52
100057	200054	1
20003	100058	0.03
20003	200054	1
10003	10004	0.1
10003	10008	1
100038	10008	0.1
100038	100040	1
100039	10004	0.9
100039	20003	1
20008	100040	0.1
20008	20003	1
10008	100011	0.9
10008	100041	0.9
10008	100036	1
100042	100011	1
100042	100041	1
200011	100041	0
200011	100036	0
200011	20008	1
100011	100014	0.75
100011	100043	0.94
100011	100060	1
100044	100014	0.08
100044	100043	0.81
100044	200011	1
100061	100014	0.08
100061	100060	0.59
100061	200011	1
200014	100043	0.06
200014	100060	0.09
200014	200011	1
100014	100017	0.9
100014	100045	0.95
100014	100062	1
100046	100017	0.1
100046	100045	1
100063	100062	0.9
100063	200014	1
200017	100045	0.05
200017	100062	0.1
200017	200014	1
100017	100020	0.73
100017	100047	0.9
100017	100065	1
100048	100020	0.11
100048	100047	0.83
100048	200017	1
100064	100020	0.17
100064	100065	0.81
100064	200017	1
200020	100047	0.27
200020	100065	0.32
200020	200017	1
100020	100021	0.98
100020	100050	1
100049	100021	1
100066	100021	0.17
100066	100050	0.81
100066	200020	1
200021	100050	0.05
200021	200020	1
100021	100022	0.77
100021	100023	1
200023	100022	0.08
200023	200021	1
100028	100032	0.9
100028	100051	1
100067	100032	0.5
100067	200028	1
200032	100051	0.1
200032	200028	1
100032	100033	0.9
100032	100052	1
100068	100033	0.5
100068	200032	1
200033	100052	0.1
200033	200032	1
100033	100035	0.49
100033	100072	0.56
100033	100073	1
100054	100056	0.1
100054	10002	1
100023	100024	0.94
100023	100025	1
100024	100028	1
100027	100028	0.93
100027	200023	1
200028	200023	0.55
200028	200027	1
100071	200033	0.77
100071	100072	0.89
100071	100035	1
100070	200033	0.22
100070	100035	0.93
100070	100073	1
100074	100072	0.9
100074	200033	1
100074	100073	0
100025	200025	1
200027	200025	1
100035  100069  1
100059 	20008 	1
