id phase (1-2 columns), cum rout prob (next colm)	 
20481	 23006	 0.33
20481	 1201	 0.66
20481	 1204	 1.00
20482	 16468	 0.50
20482	 20478	 1.00
216323	 1085	 0.33
216323	 708	 0.66
216323	 1206	 1.00
1497559	 2371	 0.33
1497559	 23003	 0.66
1497559	 709	 1.00
2370	 709	 0.33
2370	 23003	 0.66
2370	 831	 1.00
1752111	 24550	 0.33
1752111	 23005	 0.66
1752111	 1752108	 1.00
1721892	 24562	 0.50
1721892	 20476	 1.00
732	 216323	 0.33
732	 728	 0.66
732	 16462	 1.00
1752107	 24550	 0.33
1752107	 23005	 0.66
1752107	 1752109	 1.00
2350	 733	 0.33
2350	 20471	 0.66
2350	 738	 1.00
23005	 1204	 0.25
23005	 20482	 0.50
23005	 23006	 0.75
23005	 1201	 1.00
1204	 708	 0.25
1204	 1085	 0.50
1204	 1206	 0.75
1204	 732	 1.00
23006	 1752109	 0.33
23006	 24550	 0.66
23006	 1752108	 1.00
1085	 23006	 0.25
1085	 1201	 0.50
1085	 1204	 0.75
1085	 20482	 1.00
1205	 732	 0.33
1205	 1085	 0.66
1205	 708	 1.00
217794	 16467	 0.33
217794	 727	 0.66
217794	 734	 1.00
708	 23003	 0.33
708	 831	 0.66
708	 2371	 1.00
709	 1206	 0.33
709	 1085	 0.66
709	 732	 1.00
217801	 20472	 0.33
217801	 20477	 0.66
217801	 24565	 1.00
216440	 23006	 0.33
216440	 20482	 0.66
216440	 1204	 1.00
16467	 20478	 0.33
16467	 20481	 0.66
16467	 16468	 1.00
16468	 734	 0.33
16468	 217793	 0.66
16468	 727	 1.00
727	 216323	 0.50
727	 16462	 1.00
728	 734	 0.33
728	 217793	 0.66
728	 16467	 1.00
23003	 24549	 1.00
23004	 709	 0.33
23004	 2371	 0.66
23004	 831	 1.00
733	 16467	 0.33
733	 727	 0.66
733	 217793	 1.00
734	 2351	 0.33
734	 738	 0.66
734	 20471	 1.00
741	 20475	 0.50
741	 737	 1.00
737	 2351	 0.33
737	 733	 0.66
737	 20471	 1.00
738	 742	 0.33
738	 737	 0.66
738	 20475	 1.00
24549	 1752108	 0.33
24549	 1752109	 0.66
24549	 23005	 1.00
24550	 23004	 1.00
216305	 216323	 0.50
216305	 728	 1.00
24562	 24564	 1.00
24563	 20476	 0.50
24563	 1721893	 1.00
24564	 20477	 0.33
24564	 20472	 0.66
24564	 217802	 1.00
24565	 24563	 1.00
20471	 24565	 0.33
20471	 217802	 0.66
20471	 20477	 1.00
20472	 738	 0.33
20472	 733	 0.66
20472	 2351	 1.00
20475	 1721893	 0.50
20475	 24562	 1.00
20476	 737	 0.50
20476	 742	 1.00
20477	 16468	 0.50
20477	 20481	 1.00
20478	 217802	 0.33
20478	 20472	 0.66
20478	 24565	 1.00
